Material Name,Symbol,Category,Molecular Weight (g/mol),Overall t_min (K),Overall t_max (K),Phases,Shomate Intervals,Max Fit Error Across Intervals (%),Reference Code,Source / Notes
Silver,Ag,Metals and alloys,107.8682,200,6000,"L, cr",2,1.977,coda89,"Cubic. Ref-Elm. Cox,1989 p228."
Aluminium,AL,Metals and alloys,26.9815,200,6000,"L, cr",2,1.996,coda89,"Cubic. Ref-Elm. Cox,1989 p217."
ALBr3,ALBr3,Other technologically relevant materials,266.6935,200,6000,"L, cr",2,0.274,tpis96,"Monoclinic. Gurvich,1996a pt1 p187 pt2 p150."
ALCL3,ALCL3,Other technologically relevant materials,133.3405,200,6000,"L, cr",2,0.554,tpis96,"Monoclinic. Gurvich,1996a pt1 p172 pt2 p133."
ALF3,ALF3,Other technologically relevant materials,83.9767,100,2100,"I, II",3,0.065,tpis96,"Hexagonal. Gurvich,1996a pt1 p156 pt2 p119."
ALH3,ALH3,Other technologically relevant materials,30.0054,200,500,a,1,2.379,tpis96,"Alpha,hexagonal. Gurvich,1996a pt1 p144 pt2 p108."
ALI3,ALI3,Other technologically relevant materials,407.6949,298.15,6000,"L, cr",2,0.001,tpis96,"Hexagonal. Gurvich,1996a pt1 p193 pt2 p155."
ALN,ALN,Refractories,40.9882,100,6000,"L, cr",5,3.53,tpis96,"Hexagonal. Gurvich,1996a pt1 p202 pt2 p163."
AL(OH)3,AL(OH)3,Other technologically relevant materials,78.0036,100,500,a,2,0.92,tpis96,"Gibbsite. Gurvich,1996a pt1 p150 pt2 p114."
AL2O3,AL2O3,Refractories,101.9613,200,6000,"L, a",4,0.39,tpis96,"Alpha,corundum. Gurvich,1996a pt1 p134 pt2 p103."
AL2S3,AL2S3,Other technologically relevant materials,150.1581,100,6000,"L, a, b",4,1.709,tpis96,"Hexagonal alpha. Gurvich,1996a pt1 p201 pt2 p162."
AL2SiO5,AL2SiO5,Refractories,162.0456,200,3000,an,3,0.158,j,"Andalusite. Chase,1998 p160."
AL4C3,AL4C3,Refractories,143.9583,100,2500,cr,4,1.279,tpis96,"Hexagonal. Gurvich,1996a pt1 p207 pt2 p168."
Boron,B,Semiconductors,10.811,200,6000,"L, b",3,1.497,j,"Beta. Ref-Elm. Chase,1998 p177-180. McBride,1993a."
BN,BN,Refractories,24.8177,200,6000,"L, cr",5,3.978,tpis96,"Hexagonal. Gurvich,1996a pt1 p103 pt2 p82."
