Material Name,Symbol,Category,Phase,t_min (K),t_max (K),A,B,C,D,Max Fit Error (%),R²,Molecular Weight (g/mol),NASA Species (ref),Reference Code,Source / Notes
Silver,Ag,Metals and alloys,cr,200,1235.08,23.501612,5.497637,0.568823,0.077693,1.977,0.99839,107.8682,Ag(cr),coda89,"Cubic. Ref-Elm. Cox,1989 p228."
Silver,Ag,Metals and alloys,L,1235.08,6000,33.39981,0,0,0,0,1,107.8682,Ag(L),coda89,"Liquid. Ref-Elm. Cox,1989 p228."
Aluminium,AL,Metals and alloys,cr,200,933.61,13.988785,51.988829,-74.516385,45.031756,1.996,0.99925,26.9815,AL(cr),coda89,"Cubic. Ref-Elm. Cox,1989 p217."
Aluminium,AL,Metals and alloys,L,933.61,6000,31.749819,0,0,0,0,1,26.9815,AL(L),coda89,"Liquid. Ref-Elm. Cox,1989 p217."
ALBr3,ALBr3,Other technologically relevant materials,cr,200,371.16,5.480609,870.287837,-3017.017939,3918.421434,0.274,0.99985,266.6935,ALBr3(cr),tpis96,"Monoclinic. Gurvich,1996a pt1 p187 pt2 p150."
ALBr3,ALBr3,Other technologically relevant materials,L,371.16,6000,124.999288,0,0,0,0,1,266.6935,ALBr3(L),tpis96,"Liquid. Gurvich,1996a pt1 p187 pt2 p150."
ALCL3,ALCL3,Other technologically relevant materials,cr,200,465.7,28.374863,394.337406,-841.893618,758.902262,0.554,0.99973,133.3405,ALCL3(cr),tpis96,"Monoclinic. Gurvich,1996a pt1 p172 pt2 p133."
ALCL3,ALCL3,Other technologically relevant materials,L,465.7,6000,125.499285,0,0,0,0,1,133.3405,ALCL3(L),tpis96,"Liquid. Gurvich,1996a pt1 p172 pt2 p133."
ALF3,ALF3,Other technologically relevant materials,II,100,298.15,-20.325711,519.53813,-668.812255,0,0,1,83.9767,ALF3(II),tpis96,"Hexagonal. Gurvich,1996a pt1 p156 pt2 p119."
ALF3,ALF3,Other technologically relevant materials,II,298.15,728,-26.26185,590.440635,-1036.431094,659.368242,0,1,83.9767,ALF3(II),tpis96,"Hexagonal. Gurvich,1996a pt1 p156 pt2 p119."
ALF3,ALF3,Other technologically relevant materials,I,728,2100,86.653574,18.312656,-5.13716,0.980793,0.065,0.99998,83.9767,ALF3(I),tpis96,"Cubic. Gurvich,1996a pt1 p156 pt2 p119."
ALH3,ALH3,Other technologically relevant materials,a,200,500,-25.550654,334.608873,-440.35609,190.938482,2.379,0.99972,30.0054,ALH3(a),tpis96,"Alpha,hexagonal. Gurvich,1996a pt1 p144 pt2 p108."
